QUARTER,YEAR,BOISE,BOSTON,COLUMBUS,DES MOINES,MIAMI,NASHVILLE,NEW ORLEANS,PHOENIX,SALT LAKE CITY,SAN DIEGO,SAN FRANCISCO,ST. PAUL ISLAND
Q1,1951,1.4,2.2,0.2,-4.0,19.6,6.5,-4.0,13.5,1.4,13.7,11.3,-3.3
Q1,1952,3.3,1.2,2.6,-1.6,21.5,7.8,-1.6,12.1,-1.1,13.3,9.9,-1.1
Q1,1953,5.7,2.4,3.3,-0.8,21.8,8.5,-0.8,13.6,4.4,14.6,10.8,-6.2
Q1,1954,6.0,1.0,2.3,-1.2,20.6,7.4,-1.2,14.1,2.4,14.3,10.0,-7.4
Q1,1955,2.0,0.4,1.1,-3.1,20.1,6.3,-3.1,12.1,-2.5,13.6,9.3,-4.0
Q1,1956,4.3,0.2,1.3,-3.8,20.1,6.7,-3.8,13.4,1.5,13.2,9.8,-6.7
Q1,1957,6.6,0.2,1.3,-2.3,21.9,6.9,-2.3,15.0,2.4,14.9,10.5,-3.3
Q1,1958,6.0,-0.1,-0.9,-3.6,17.6,2.7,-3.6,13.3,2.9,15.0,11.5,-4.5
Q1,1959,6.2,-0.6,0.3,-3.6,21.7,5.7,-3.6,14.0,2.9,15.6,12.7,-2.9
Q1,1960,4.8,0.5,-0.9,-3.7,19.7,2.9,-3.7,12.8,0.1,14.0,11.0,-3.0
Q1,1961,6.6,-0.5,1.8,-1.2,21.0,6.7,-1.2,13.6,2.6,15.3,10.8,-5.8
Q1,1962,4.4,0.9,-1.1,-6.1,21.2,5.7,-6.1,12.4,-1.6,13.5,9.6,-3.8
Q1,1963,5.0,-0.3,-1.6,-5.4,20.5,4.2,-5.4,13.6,0.4,14.4,10.7,-2.7
Q1,1964,1.4,0.6,0.2,-2.1,20.8,5.4,-2.1,10.5,-2.9,13.7,10.1,-5.7
Q1,1965,4.6,-1.3,-0.7,-6.6,21.4,4.7,-6.6,12.1,0.8,13.8,10.2,-5.9
Q1,1966,4.6,0.7,-0.4,-3.0,20.2,5.7,-3.0,11.7,1.0,13.1,9.6,-2.1
Q1,1967,6.0,-0.2,1.0,-1.9,21.7,7.6,-1.9,13.6,2.9,14.0,10.7,-1.0
Q1,1968,6.0,-1.0,-0.6,-1.3,18.5,3.9,-1.3,14.1,2.1,15.3,11.0,-4.6
Q1,1969,4.0,-0.3,-0.4,-4.8,19.4,4.4,-4.8,12.7,0.7,13.7,9.6,-2.7
Q1,1970,5.4,-0.6,-1.8,-4.3,19.3,4.0,-4.3,14.1,3.6,15.0,12.5,-4.6
Q1,1971,5.1,-0.9,-0.8,-4.1,21.0,4.2,-4.1,14.0,2.2,13.2,10.1,-7.9
